"","指標","議員のみ","首長のみ","両方","首長のみ(ブートストラップp値)","両方(ブートストラップp値)"
"議員選挙年","logit係数","-0.0094 (0.0061)","","-0.0103* (0.0063)","",""
"議員選挙年_政令市","logit係数","-0.0065 (0.0168)","","-0.0082 (0.0166)","",""
"議会高齢化ギャップ","logit係数","0.0291 (0.0511)","0.0206 (0.0498)","0.0295 (0.0511)","",""
"議会女性ギャップ","logit係数","0.0853 (0.1027)","0.0715 (0.1018)","0.0855 (0.1028)","",""
"議員新人割合","logit係数","-0.0302 (0.0430)","-0.0325 (0.0429)","-0.0300 (0.0430)","",""
"首長X65歳以上割合","logit係数","0.0244** (0.0116)","0.0243** (0.0116)","0.0241** (0.0116)","",""
"首長新人割合","logit係数","0.0015 (0.0090)","0.0014 (0.0090)","0.0014 (0.0090)","",""
"首長女性割合","logit係数","0.0050 (0.0253)","0.0050 (0.0254)","0.0047 (0.0254)","",""
"地域女性割合","logit係数","3.3334 (2.3435)","3.3072 (2.3431)","3.3339 (2.3441)","",""
"経常収支比率.市町村財政.","logit係数","-0.0008 (0.0013)","-0.0008 (0.0013)","-0.0008 (0.0013)","",""
"児童生徒割合","logit係数","3.0631* (1.8428)","3.0874* (1.8438)","3.0615* (1.8428)","",""
"政令市_post2017","logit係数","0.6490*** (0.0317)","0.6400*** (0.0322)","0.6406*** (0.0326)","",""
"首長選挙年","logit係数","","0.0015 (0.0054)","0.0035 (0.0055)","",""
"首長選挙年_政令市","logit係数","","0.0279** (0.0142)","0.0265* (0.0143)","",""
"議員選挙年","教育費シェア%pt (評価点 0.1043)","-0.0875 (0.0570)","","-0.0962* (0.0584)","",""
"議員選挙年_政令市","教育費シェア%pt (評価点 0.1043)","-0.0607 (0.1566)","","-0.0768 (0.1554)","",""
"議会高齢化ギャップ","教育費シェア%pt (評価点 0.1043)","0.2746 (0.4770)","0.1938 (0.4651)","0.2790 (0.4770)","",""
"議会女性ギャップ","教育費シェア%pt (評価点 0.1043)","0.8238 (0.9592)","0.6864 (0.9503)","0.8255 (0.9598)","",""
"議員新人割合","教育費シェア%pt (評価点 0.1043)","-0.2786 (0.4012)","-0.2993 (0.4009)","-0.2771 (0.4014)","",""
"首長X65歳以上割合","教育費シェア%pt (評価点 0.1043)","0.2297** (0.1083)","0.2288** (0.1084)","0.2276** (0.1084)","",""
"首長新人割合","教育費シェア%pt (評価点 0.1043)","0.0138 (0.0840)","0.0129 (0.0840)","0.0130 (0.0840)","",""
"首長女性割合","教育費シェア%pt (評価点 0.1043)","0.0468 (0.2364)","0.0469 (0.2372)","0.0441 (0.2374)","",""
"地域女性割合","教育費シェア%pt (評価点 0.1043)","66.1167 (21.8866)","65.6429 (21.8825)","66.1253 (21.8922)","",""
"経常収支比率.市町村財政.","教育費シェア%pt (評価点 0.1043)","-0.0076 (0.0122)","-0.0075 (0.0122)","-0.0075 (0.0122)","",""
"児童生徒割合","教育費シェア%pt (評価点 0.1043)","60.9225* (17.2107)","61.4167* (17.2202)","60.8888* (17.2105)","",""
"政令市_post2017","教育費シェア%pt (評価点 0.1043)","7.7909*** (0.2959)","7.6561*** (0.3008)","7.6656*** (0.3042)","",""
"首長選挙年","教育費シェア%pt (評価点 0.1043)","","0.0143 (0.0501)","0.0332 (0.0513)","",""
"首長選挙年_政令市","教育費シェア%pt (評価点 0.1043)","","0.2636** (0.1325)","0.2501* (0.1334)","",""
"議員選挙年","p値","0.1233","","0.0983*","","0.1400"
"議員選挙年_政令市","p値","0.6974","","0.6201","","0.6700"
"議会高齢化ギャップ","p値","0.5693","0.6795","0.5633","0.6350","0.5150"
"議会女性ギャップ","p値","0.4063","0.4826","0.4057","0.5050","0.4550"
"議員新人割合","p値","0.4823","0.4496","0.4848","0.4650","0.5100"
"首長X65歳以上割合","p値","0.0357**","0.0366**","0.0376**","0.0450**","0.0450**"
"首長新人割合","p値","0.8697","0.8780","0.8768","0.8900","0.8800"
"首長女性割合","p値","0.8435","0.8435","0.8530","0.8550","0.8600"
"地域女性割合","p値","0.1549","0.1581","0.1550","0.2200","0.2200"
"経常収支比率.市町村財政.","p値","0.5334","0.5392","0.5387","0.4950","0.4950"
"児童生徒割合","p値","0.0965*","0.0941*","0.0967*","0.1050","0.1100"
"政令市_post2017","p値","0.0000***","0.0000***","0.0000***","0.0050***","0.0050***"
"首長選挙年","p値","","0.7758","0.5185","0.7650","0.5650"
"首長選挙年_政令市","p値","","0.0491**","0.0637*","0.0500**","0.0800*"
"固定効果","モデル情報","自治体・年度","自治体・年度","自治体・年度","",""
"標準誤差","モデル情報","自治体クラスター","自治体クラスター","自治体クラスター","",""
"観測数","モデル情報","10242","10242","10242","",""
"自治体数","モデル情報","1707","1707","1707","",""
"年度数","モデル情報","6","6","6","",""
"決定係数","モデル情報","0.0169","0.0167","0.0169","",""
"調整済み決定係数","モデル情報","-0.1820","-0.1822","-0.1822","",""
"F統計量","モデル情報","38.47","42.29","36.38","",""
"F検定のp値","モデル情報","<2e-16","<2e-16","<2e-16","",""
